"mfid","mid","field_name","field_alias","type","is_system","list_view","list_sort","list_order","list_readonly","list_text","link_addr","link_attr","list_align","list_width","list_style","list_format","list_search_op","list_search_label","list_sql","form_sort","form_view","form_view_type","form_readonly","form_required","form_validate_type","form_max_length","form_min_length","form_chk_style","form_live_search","form_data_source","form_style","form_notes","import_data_sql","remark","settings","enabled","last_modify_time","create_time","data_toggle","data_url","data_group","data_width","data_title","data_height","list_search_style","list_search_sort","list_search_dateformat","list_search_extattr","list_search_width","chk_style","lookup_is_back","lookup_list_show","lookup_name","file_size_limit","file_type_exts","file_multi","file_auto","is_lock","file_rename"
"685732318134865920","249","pms_azwzid","pms的设备安装位置ID","VARCHAR","true","false","300","0","0","","","","","","","","","","","300","false","","","false","","","","","","","","","","cG1z55qE6K6+5aSH5a6J6KOF5L2N572uSUQ=","","0","2018/5/2 15:11:06","2018/5/2 15:11:06","","","","","","","","","","","","","","","false","10240000","*.png;*.gif;*.jpg;*.doc;*.docx;*.zip;*.rar;*.xls;*.xlsx","true","true","0","false"
"685732318151643136","249","pms_azwz","pms的设备安装位置","VARCHAR","true","false","300","0","0","","","","","","","","","","","300","false","","","false","","","","","","","","","","cG1z55qE6K6+5aSH5a6J6KOF5L2N572u","","0","2018/5/2 15:11:06","2018/5/2 15:11:06","","","","","","","","","","","","","","","false","10240000","*.png;*.gif;*.jpg;*.doc;*.docx;*.zip;*.rar;*.xls;*.xlsx","true","true","0","false"
"685732318172614656","249","chk","是否巡检","INT","true","false","300","0","0","","","","","","","","","","","300","false","","","false","","","","","","","","","","5piv5ZCm5beh5qOA","","0","2018/5/2 15:11:06","2018/5/2 15:11:06","","","","","","","","","","","","","","","false","10240000","*.png;*.gif;*.jpg;*.doc;*.docx;*.zip;*.rar;*.xls;*.xlsx","true","true","0","false"
"685732318193586176","249","sort","巡检顺序","INT","true","false","300","0","0","","","","","","","","","","","300","false","","","false","","","","","","","","","","5beh5qOA6aG65bqP","","0","2018/5/2 15:11:06","2018/5/2 15:11:06","","","","","","","","","","","","","","","false","10240000","*.png;*.gif;*.jpg;*.doc;*.docx;*.zip;*.rar;*.xls;*.xlsx","true","true","0","false"
"685732318214557696","249","has_yb","是否有压板","VARCHAR","true","false","300","0","0","","","","","","","","","","","300","false","","","false","","","","","","","","","","5piv5ZCm5pyJ5Y6L5p2/","","0","2018/5/2 15:11:06","2018/5/2 15:11:06","","","","","","","","","","","","","","","false","10240000","*.png;*.gif;*.jpg;*.doc;*.docx;*.zip;*.rar;*.xls;*.xlsx","true","true","0","false"
"685732318243917824","249","name_pinyin","设备种类名称","VARCHAR","true","false","300","0","0","","","","","","","","","","","300","false","","","false","","","","","","","","","","6K6+5aSH56eN57G75ZCN56ew","","0","2018/5/2 15:11:06","2018/5/2 15:11:06","","","","","","","","","","","","","","","false","10240000","*.png;*.gif;*.jpg;*.doc;*.docx;*.zip;*.rar;*.xls;*.xlsx","true","true","0","false"
"685732318269083648","249","name_short","设备简称","VARCHAR","true","true","35","0","0","","","","left","","","","","","","300","false","text","","true","","","","false","false","","","","","","","0","2018/5/5 20:14:07","2018/5/2 15:11:06","","","","","","","","","","","","","","false","false","10240000","*.png;*.gif;*.jpg;*.doc;*.docx;*.zip;*.rar;*.xls;*.xlsx","true","true","0","false"
"685732318290055168","249","name_short_pinyin","","VARCHAR","true","false","300","0","0","","","","","","","","","","","300","false","","","false","","","","","","","","","","","","0","2018/5/2 15:11:06","2018/5/2 15:11:06","","","","","","","","","","","","","","","false","10240000","*.png;*.gif;*.jpg;*.doc;*.docx;*.zip;*.rar;*.xls;*.xlsx","true","true","0","false"
"685732318311026688","249","manufacturer","生产厂家","VARCHAR","true","false","300","0","0","","","","","","","","","","","300","false","","","false","","","","","","","","","","55Sf5Lqn5Y6C5a62","","0","2018/5/2 15:11:06","2018/5/2 15:11:06","","","","","","","","","","","","","","","false","10240000","*.png;*.gif;*.jpg;*.doc;*.docx;*.zip;*.rar;*.xls;*.xlsx","true","true","0","false"
"685732318331998208","249","dlt","","INT","true","false","300","0","0","","","","","","","","","","","300","false","","","false","","","","","","","","","","","","0","2018/5/2 15:11:06","2018/5/2 15:11:06","","","","","","","","","","","","","","","false","10240000","*.png;*.gif;*.jpg;*.doc;*.docx;*.zip;*.rar;*.xls;*.xlsx","true","true","0","false"
"685732318357164032","249","spid","间隔名称","VARCHAR","true","false","300","0","0","","","","center","","","","","","","300","false","selectpicker","","false","","","","false","false","/jyh/spacing/json?bdzid=bdzid","","","","6Ze06ZqU5Y+3","","0","2018/5/4 18:15:23","2018/5/2 15:11:06","","","","","","","","","","","","","","false","false","10240000","*.png;*.gif;*.jpg;*.doc;*.docx;*.zip;*.rar;*.xls;*.xlsx","true","true","0","false"
